"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 07 05:08:04 UTC 2024","Thu Mar 07 05:09:07 UTC 2024","62338","","My Network: [FNN-1233] Invite manually via email without custom message with signup bonus","","My Network: [FNN-1233] Invite manually via email without custom message with signup bonus","should subscribe as the freelancer with recipient details and accept the invitation","should subscribe as the freelancer with recipient details and accept the invitation",""
"passed","Thu Mar 07 04:19:20 UTC 2024","Thu Mar 07 04:22:26 UTC 2024","185843","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Enterprise 1 month","should upgrade account to Enterprise 1 month",""
"passed","Thu Mar 07 04:16:26 UTC 2024","Thu Mar 07 04:16:48 UTC 2024","22118","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Experience","should add Experience",""
"broken","Thu Mar 07 05:16:26 UTC 2024","Thu Mar 07 05:18:03 UTC 2024","96500","","My Transactions: [FNN-737] Hourly project: Start project. Negative","","My Transactions: [FNN-737] Hourly project: Start project. Negative","""before all"" hook for [FNN-737] Hourly project: Start project. Negative","""before all"" hook for [FNN-737] Hourly project: Start project. Negative",""
"passed","Thu Mar 07 04:11:12 UTC 2024","Thu Mar 07 04:11:16 UTC 2024","3095","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without password","should log in without password",""
"passed","Thu Mar 07 04:17:01 UTC 2024","Thu Mar 07 04:17:34 UTC 2024","33350","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Incorrect CVC decline","should upgrade account to Standard 1 month: Incorrect CVC decline",""
"failed","Thu Mar 07 04:58:11 UTC 2024","Thu Mar 07 05:00:31 UTC 2024","139730","","CR: [FNN-1779] My Dashboard page integrity as Employer","","CR: [FNN-1779] My Dashboard page integrity as Employer","should verify the integrity of the My Dashboard page as employer","should verify the integrity of the My Dashboard page as employer",""
"passed","Thu Mar 07 04:12:33 UTC 2024","Thu Mar 07 04:14:30 UTC 2024","116679","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Standaard 1 month","should upgrade account to Standaard 1 month",""
"passed","Thu Mar 07 05:01:48 UTC 2024","Thu Mar 07 05:02:00 UTC 2024","11987","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without position","should add experience without position",""
"passed","Thu Mar 07 04:46:05 UTC 2024","Thu Mar 07 04:46:16 UTC 2024","10803","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without Profile picture","should create profile without Profile picture",""
"broken","Thu Mar 07 04:59:32 UTC 2024","Thu Mar 07 05:01:42 UTC 2024","129932","","Post Project: [FNN-587] Post project with account Positive","","Post Project: [FNN-587] Post project with account Positive","should post a project as a registered user with valid project data","should post a project as a registered user with valid project data",""
"passed","Thu Mar 07 04:26:17 UTC 2024","Thu Mar 07 04:26:31 UTC 2024","13340","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without step 2","should post project without step 2",""
"passed","Thu Mar 07 04:47:31 UTC 2024","Thu Mar 07 04:49:37 UTC 2024","126566","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should verify if the ""Assign project"" button is enable","should verify if the ""Assign project"" button is enable",""
"failed","Thu Mar 07 05:19:30 UTC 2024","Thu Mar 07 05:20:32 UTC 2024","62201","","CR: [FNN-750] Invite to the organization through search","","CR: [FNN-750] Invite to the organization through search","should check organization page as the inviting user","should check organization page as the inviting user",""
"passed","Thu Mar 07 04:13:16 UTC 2024","Thu Mar 07 04:14:59 UTC 2024","103365","","Reset password: [FNN-656] Reset password Positive","","Reset password: [FNN-656] Reset password Positive","should reset password with valid credentials","should reset password with valid credentials",""
"passed","Thu Mar 07 04:43:29 UTC 2024","Thu Mar 07 04:44:36 UTC 2024","66951","","Freelancer search: [FNN-817] Add note","","Freelancer search: [FNN-817] Add note","should add note from the notes popup","should add note from the notes popup",""
"passed","Thu Mar 07 04:11:49 UTC 2024","Thu Mar 07 04:12:49 UTC 2024","60129","","Login: [FNN-648] Log in from the Login page Positive","","Login: [FNN-648] Log in from the Login page Positive","should log in with valid credentials","should log in with valid credentials",""
"passed","Thu Mar 07 04:28:24 UTC 2024","Thu Mar 07 04:29:08 UTC 2024","44814","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password without new and repeat password","should change password without new and repeat password",""
"passed","Thu Mar 07 04:45:32 UTC 2024","Thu Mar 07 04:45:45 UTC 2024","12892","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without City","should create profile without City",""
"passed","Thu Mar 07 04:35:22 UTC 2024","Thu Mar 07 04:35:41 UTC 2024","19245","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Hourly rate","should filter projects by Hourly rate",""
"failed","Thu Mar 07 04:56:11 UTC 2024","Thu Mar 07 04:58:13 UTC 2024","122935","","CR: [FNN-1888] My Dashboard page integrity as Freelancer","","CR: [FNN-1888] My Dashboard page integrity as Freelancer","should verify the integrity of the My Dashboard page as freelancer","should verify the integrity of the My Dashboard page as freelancer",""
"passed","Thu Mar 07 04:36:31 UTC 2024","Thu Mar 07 04:36:38 UTC 2024","6873","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via email without last name","should invite manually via email without last name",""
"passed","Thu Mar 07 04:43:14 UTC 2024","Thu Mar 07 04:43:29 UTC 2024","14919","","Freelancer search: [FNN-817] Add note","","Freelancer search: [FNN-817] Add note","should add a note via the action ""Add note""","should add a note via the action ""Add note""",""
"passed","Thu Mar 07 05:04:03 UTC 2024","Thu Mar 07 05:04:10 UTC 2024","7499","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without phone","should pass step 2 without phone",""
"broken","Thu Mar 07 05:15:38 UTC 2024","Thu Mar 07 05:17:17 UTC 2024","98274","","My Transactions: [FNN-1439] Hourly project: Add time. Negative","","My Transactions: [FNN-1439] Hourly project: Add time. Negative","""before all"" hook for [FNN-1439] Hourly project: Add time. Negative","""before all"" hook for [FNN-1439] Hourly project: Add time. Negative",""
"passed","Thu Mar 07 04:11:03 UTC 2024","Thu Mar 07 04:11:08 UTC 2024","4680","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in with wrong email format","should log in with wrong email format",""
"passed","Thu Mar 07 05:04:27 UTC 2024","Thu Mar 07 05:04:45 UTC 2024","17579","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without data","should pass step 3 without data",""
"passed","Thu Mar 07 04:15:25 UTC 2024","Thu Mar 07 04:15:55 UTC 2024","30058","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Lost card decline","should upgrade account to Standard 1 month: Lost card decline",""
"passed","Thu Mar 07 04:13:34 UTC 2024","Thu Mar 07 04:13:47 UTC 2024","13685","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with short password","should subscribe with short password",""
"passed","Thu Mar 07 05:01:45 UTC 2024","Thu Mar 07 05:01:48 UTC 2024","3654","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without data","should add experience without data",""
"passed","Thu Mar 07 04:16:20 UTC 2024","Thu Mar 07 04:19:20 UTC 2024","179523","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Business 1 month","should upgrade account to Business 1 month",""
"passed","Thu Mar 07 05:02:22 UTC 2024","Thu Mar 07 05:02:34 UTC 2024","12026","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without period until","should add experience without period until",""
"skipped","Thu Mar 07 05:13:38 UTC 2024","Thu Mar 07 05:13:38 UTC 2024","12","","[FNN-667] Send contact","","[FNN-667] Send contact","should forward the contact request","should forward the contact request",""
"passed","Thu Mar 07 04:28:08 UTC 2024","Thu Mar 07 04:28:32 UTC 2024","23693","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Description","should post project without Description",""
"passed","Thu Mar 07 04:25:53 UTC 2024","Thu Mar 07 04:26:07 UTC 2024","14308","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project with short Title","should post project with short Title",""
"passed","Thu Mar 07 04:10:03 UTC 2024","Thu Mar 07 04:11:22 UTC 2024","79114","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without category","should subscribe without category",""
"failed","Thu Mar 07 05:14:39 UTC 2024","Thu Mar 07 05:15:31 UTC 2024","52107","","My Network: [FNN-664] Invite freelancer","","My Network: [FNN-664] Invite freelancer","should check network as sender user","should check network as sender user",""
"passed","Thu Mar 07 04:52:50 UTC 2024","Thu Mar 07 04:54:07 UTC 2024","76744","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Minimum rating","should filter freelancers by Minimum rating",""
"failed","Thu Mar 07 05:06:05 UTC 2024","Thu Mar 07 05:07:12 UTC 2024","66880","","My Network: [FNN-1232] Invite manually via email with custom message with signup bonus","","My Network: [FNN-1232] Invite manually via email with custom message with signup bonus","should invite manually via email with valid recipient data and with message","should invite manually via email with valid recipient data and with message",""
"passed","Thu Mar 07 04:59:23 UTC 2024","Thu Mar 07 04:59:25 UTC 2024","2140","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without data","should subscribe as CR without data",""
"passed","Thu Mar 07 04:52:20 UTC 2024","Thu Mar 07 04:52:50 UTC 2024","30221","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Minimum references","should filter freelancers by Minimum references",""
"passed","Thu Mar 07 04:59:45 UTC 2024","Thu Mar 07 04:59:51 UTC 2024","5965","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid phone number","should edit account details with invalid phone number",""
"passed","Thu Mar 07 04:18:47 UTC 2024","Thu Mar 07 04:20:33 UTC 2024","106414","","My Profile: [FNN-698] Confirm phone number Positive","","My Profile: [FNN-698] Confirm phone number Positive","should confirm phone number with valid code","should confirm phone number with valid code",""
"passed","Thu Mar 07 05:16:43 UTC 2024","Thu Mar 07 05:18:53 UTC 2024","130474","","CR: [FNN-750] Invite to the organization through search","","CR: [FNN-750] Invite to the organization through search","should invite freelancer","should invite freelancer",""
"passed","Thu Mar 07 04:44:12 UTC 2024","Thu Mar 07 04:48:01 UTC 2024","229122","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Terms","should filter freelancers by Terms",""
"passed","Thu Mar 07 05:02:11 UTC 2024","Thu Mar 07 05:02:22 UTC 2024","11214","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without period from  ","should add experience without period from  ",""
"skipped","Thu Mar 07 05:10:09 UTC 2024","Thu Mar 07 05:11:13 UTC 2024","63751","","My Network: [FNN-1027] Invite freelancers","","My Network: [FNN-1027] Invite freelancers","should check network as sender user","should check network as sender user",""
"passed","Thu Mar 07 04:58:56 UTC 2024","Thu Mar 07 04:59:10 UTC 2024","14223","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with invalid repeat password","should subscribe as CR with invalid repeat password",""
"failed","Thu Mar 07 05:00:00 UTC 2024","Thu Mar 07 05:01:02 UTC 2024","62563","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid VAT number","should edit account details with invalid VAT number",""
"passed","Thu Mar 07 05:00:13 UTC 2024","Thu Mar 07 05:02:43 UTC 2024","150113","","My Profile: [FNN-793] Remove resume","","My Profile: [FNN-793] Remove resume","should remove resume","should remove resume",""
"passed","Thu Mar 07 05:04:08 UTC 2024","Thu Mar 07 05:04:12 UTC 2024","4295","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add certificate without data","should add certificate without data",""
"passed","Thu Mar 07 04:11:45 UTC 2024","Thu Mar 07 04:11:57 UTC 2024","11790","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without email","should subscribe without email",""
"broken","Thu Mar 07 05:12:50 UTC 2024","Thu Mar 07 05:15:32 UTC 2024","161941","","[FNN-743] Archive and restore message","","[FNN-743] Archive and restore message","""before all"" hook for [FNN-743] Archive and restore message","""before all"" hook for [FNN-743] Archive and restore message",""
"passed","Thu Mar 07 04:12:09 UTC 2024","Thu Mar 07 04:12:12 UTC 2024","3273","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in without email","should log in without email",""
"passed","Thu Mar 07 04:13:07 UTC 2024","Thu Mar 07 04:13:20 UTC 2024","12272","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without password","should subscribe without password",""
"passed","Thu Mar 07 04:40:25 UTC 2024","Thu Mar 07 04:43:03 UTC 2024","157305","","Freelancer search: [FNN-816] Create list Functionality","","Freelancer search: [FNN-816] Create list Functionality","should create a list of freelancers","should create a list of freelancers",""
"passed","Thu Mar 07 05:11:59 UTC 2024","Thu Mar 07 05:12:43 UTC 2024","44121","","My Projects: [FNN-1058] Complete project Negative","","My Projects: [FNN-1058] Complete project Negative","should complete project with short Comments","should complete project with short Comments",""
"broken","Thu Mar 07 05:14:47 UTC 2024","Thu Mar 07 05:16:18 UTC 2024","91255","","My Transactions: [FNN-708] Hourly project: In advance. Positive","","My Transactions: [FNN-708] Hourly project: In advance. Positive","""before all"" hook for [FNN-708] Hourly project: In advance. Positive","""before all"" hook for [FNN-708] Hourly project: In advance. Positive",""
"passed","Thu Mar 07 04:11:58 UTC 2024","Thu Mar 07 04:12:04 UTC 2024","5897","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in with invalid credentials","should log in with invalid credentials",""
"passed","Thu Mar 07 04:09:00 UTC 2024","Thu Mar 07 04:09:25 UTC 2024","24746","","Subscribe: [FNN-578] Subscribe Positive","","Subscribe: [FNN-578] Subscribe Positive","should verify the Verify email letter","should verify the Verify email letter",""
"passed","Thu Mar 07 04:11:22 UTC 2024","Thu Mar 07 04:11:35 UTC 2024","12643","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without first name","should subscribe without first name",""
"failed","Thu Mar 07 05:06:49 UTC 2024","Thu Mar 07 05:07:35 UTC 2024","46584","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with taken phone number","should post project with taken phone number",""
"passed","Thu Mar 07 04:57:47 UTC 2024","Thu Mar 07 04:57:59 UTC 2024","12452","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with wrong phone number","should subscribe as CR with wrong phone number",""
"passed","Thu Mar 07 04:12:16 UTC 2024","Thu Mar 07 04:12:48 UTC 2024","32249","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in without credentials","should log in without credentials",""
"passed","Thu Mar 07 04:56:42 UTC 2024","Thu Mar 07 04:56:54 UTC 2024","12300","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without last name","should subscribe as CR without last name",""
"passed","Thu Mar 07 04:17:56 UTC 2024","Thu Mar 07 04:18:36 UTC 2024","39447","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should check the attached part of the resume on the Profile page","should check the attached part of the resume on the Profile page",""
"passed","Thu Mar 07 04:40:09 UTC 2024","Thu Mar 07 04:40:42 UTC 2024","32583","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Location","should filter freelancers by Location",""
"skipped","Thu Mar 07 05:13:38 UTC 2024","Thu Mar 07 05:13:38 UTC 2024","0","","[FNN-667] Send contact","","[FNN-667] Send contact","should check the contact as the first user","should check the contact as the first user",""
"passed","Thu Mar 07 04:28:14 UTC 2024","Thu Mar 07 04:29:05 UTC 2024","51368","","Settings: [FNN-672] Change email address Negative","","Settings: [FNN-672] Change email address Negative","should change email address with wrong password","should change email address with wrong password",""
"passed","Thu Mar 07 04:36:46 UTC 2024","Thu Mar 07 04:39:03 UTC 2024","136228","","My Projects: [FNN-1093] Pause project","","My Projects: [FNN-1093] Pause project","should pause the project","should pause the project",""
"passed","Thu Mar 07 05:08:43 UTC 2024","Thu Mar 07 05:09:08 UTC 2024","25490","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with short password and repeat password","should post project with short password and repeat password",""
"passed","Thu Mar 07 04:42:25 UTC 2024","Thu Mar 07 04:44:43 UTC 2024","138222","","Freelancer search: [FNN-822] Send message","","Freelancer search: [FNN-822] Send message","should send a message via the ""Send message"" action","should send a message via the ""Send message"" action",""
"passed","Thu Mar 07 04:22:35 UTC 2024","Thu Mar 07 04:24:27 UTC 2024","112238","","My Profile: [FNN-795] Remove portfolio","","My Profile: [FNN-795] Remove portfolio","should remove portfolio","should remove portfolio",""
"passed","Thu Mar 07 04:12:21 UTC 2024","Thu Mar 07 04:13:41 UTC 2024","79510","","Login: [FNN-685] Log out","","Login: [FNN-685] Log out","should log out","should log out",""
"passed","Thu Mar 07 04:20:42 UTC 2024","Thu Mar 07 04:21:05 UTC 2024","22411","","My Profile: [FNN-699] Request reference Positive","","My Profile: [FNN-699] Request reference Positive","should validate reference","should validate reference",""
"passed","Thu Mar 07 04:57:07 UTC 2024","Thu Mar 07 04:57:20 UTC 2024","13680","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with wrong email format","should subscribe as CR with wrong email format",""
"passed","Thu Mar 07 05:02:00 UTC 2024","Thu Mar 07 05:02:11 UTC 2024","10657","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without company","should add experience without company",""
"passed","Thu Mar 07 04:44:51 UTC 2024","Thu Mar 07 04:45:44 UTC 2024","53170","","Freelancer search: [FNN-822] Send message","","Freelancer search: [FNN-822] Send message","should check the message as the freelancer user","should check the message as the freelancer user",""
"passed","Thu Mar 07 04:16:48 UTC 2024","Thu Mar 07 04:17:02 UTC 2024","14535","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Education","should add Education",""
"broken","Thu Mar 07 05:16:27 UTC 2024","Thu Mar 07 05:18:06 UTC 2024","99322","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","""before all"" hook for [FNN-738] Milestones project: Add milestone. Negative","""before all"" hook for [FNN-738] Milestones project: Add milestone. Negative",""
"passed","Thu Mar 07 04:57:20 UTC 2024","Thu Mar 07 04:57:25 UTC 2024","4580","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without last name","should invite manually to the organization without last name",""
"passed","Thu Mar 07 04:48:28 UTC 2024","Thu Mar 07 04:48:59 UTC 2024","30341","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Location","should filter freelancers by Location",""
"failed","Thu Mar 07 05:07:47 UTC 2024","Thu Mar 07 05:09:00 UTC 2024","73350","","My Network: [FNN-619] Invite manually via sms with signup bonus","","My Network: [FNN-619] Invite manually via sms with signup bonus","should check My Dashboard and My Transactions page for the signup bonus as the inviter user","should check My Dashboard and My Transactions page for the signup bonus as the inviter user",""
"passed","Thu Mar 07 04:17:37 UTC 2024","Thu Mar 07 04:17:45 UTC 2024","8001","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Expertise","should add Expertise",""
"passed","Thu Mar 07 05:09:30 UTC 2024","Thu Mar 07 05:14:15 UTC 2024","285362","","My Network: [FNN-664] Invite freelancer","","My Network: [FNN-664] Invite freelancer","should invite freelancer","should invite freelancer",""
"passed","Thu Mar 07 05:08:21 UTC 2024","Thu Mar 07 05:08:43 UTC 2024","21391","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without repeat password","should post project without repeat password",""
"passed","Thu Mar 07 04:29:54 UTC 2024","Thu Mar 07 04:30:46 UTC 2024","52206","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with invalid old password","should change password with invalid old password",""
"passed","Thu Mar 07 04:12:10 UTC 2024","Thu Mar 07 04:12:25 UTC 2024","14911","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with taken email","should subscribe with taken email",""
"passed","Thu Mar 07 04:12:58 UTC 2024","Thu Mar 07 04:14:18 UTC 2024","79434","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month without required fields","should upgrade account to Standard 1 month without required fields",""
"passed","Thu Mar 07 04:11:16 UTC 2024","Thu Mar 07 04:11:45 UTC 2024","29030","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without credentials","should log in without credentials",""
"passed","Thu Mar 07 05:05:28 UTC 2024","Thu Mar 07 05:05:39 UTC 2024","10386","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without 4 rating","should pass step 3 without 4 rating",""
"passed","Thu Mar 07 04:38:27 UTC 2024","Thu Mar 07 04:40:09 UTC 2024","102446","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Sector","should filter freelancers by Sector",""
"passed","Thu Mar 07 04:27:30 UTC 2024","Thu Mar 07 04:27:50 UTC 2024","20414","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Start date","should post project without Start date",""
